year,Advanced Economies,Europe,G7,Other advanced countries
2000,6.022,8.958,5.639,5.078
2001,6.07,8.417,5.871,5.198
2002,6.533,8.658,6.442,5.204
2003,6.73,9.058,6.615,5.446
2004,6.527,9.258,6.353,5.293
2005,6.249,9.083,6.149,5.048
2006,5.795,8.375,5.744,4.626
2007,5.413,7.525,5.404,4.151
2008,5.815,7.583,5.839,4.002
2009,8.064,9.65,8.023,5.311
2010,8.316,10.2,8.135,5.205
2011,7.979,10.208,7.631,4.721
2012,8.024,11.383,7.356,4.655
2013,7.92,11.992,7.075,4.628
2014,7.288,11.617,6.374,4.658
2015,6.672,10.867,5.787,4.535
2016,6.209,10.017,5.428,4.428
2017,5.952,9.439,5.289,4.335
2018,5.822,9.105,5.225,4.251
2019,5.662,8.791,5.109,4.13
2020,5.588,8.54,5.09,4.073
2021,5.578,8.281,5.166,4.029
2022,5.601,8.133,5.233,4.032
