Country,Purpose,Number
USA,Communications,318
USA,Communications,2
USA,Earth Observation,144
USA,Earth Observation,1
USA,Earth Science,1
USA,Earth Space Science,1
USA,Navigation Global Positioning,31
USA,Space Observation,5
USA,Space Science,22
USA,Technology Demonstration,3
USA,Technology Development,51
China,Communications,36
China,Earth Observation,80
China,Earth Observation ,1
China,Earth ObservationCommunications,1
China,Navigation Global Positioning,22
China,Space Science,12
China,Technology Demonstration,1
China,Technology Development,38
Russia,Communications,77
Russia,Earth Observation,17
Russia,Earth Observation,1
Russia,Earth Science,1
Russia,Navigation Global Positioning,27
Russia,Space Science,1
Russia,Technology Development,9
Multinational,Communications,50
Multinational,Earth Observation,7
Multinational,Space Science,9
Japan,Communications,17
Japan,Earth Observation,20
Japan,Navigation Global Positioning,1
Japan,Space Science,2
Japan,Technology Development,20
India,Communications,12
India,CommunicationsNavigation,1
India,Communications,1
India,Earth Observation,15
India,Earth Science,1
India,Navigation Global Positioning,7
India,Space Science,2
India,Technology Development,3
United Kingdom,Communications,32
United Kingdom,Earth Observation,4
United Kingdom,Technology Development,4
ESA,Communications,1
ESA,Earth Observation,10
ESA,Navigation Global Positioning,18
ESA,Space Science,6
ESA,Technology Demonstration,2
Canada,Communications,18
Canada,Communications,1
Canada,Earth Observation,2
Canada,Earth Science,2
Canada,Space Observation,2
Canada,Space Science,3
Canada,Technology Development,4
Germany,Communications,4
Germany,Earth Observation,13
Germany,Earth Observation,1
Germany,Earth Science,1
Germany,Technology Development,5
